,unique_id,title,description,price,Cluster ID
120,118,Sanus VCD/DVD Wall Mount - VMAVB,,,-1
121,119,Sony Memory Stick USB Card Reader/Writer - MSACUS40,"Memory Stick, Memory Stick Duo",,170
122,120,Logitech Harmony 890 Advanced Universal Remote - 966193-0403,,$248.90,202
123,1080,"Logitech Harmony 890 Advanced Universal Remote - HDTV, TV, DVD Player(s), Lighting, Audio System - 100 ft - Universal Remote - 966193-0403",,$335.11,202
124,121,Sanus Center Channel Speaker Mount - VMCC1B,Steel,,-1
125,122,Sony VAIO SZ Series Docking Station - VGPPRSZ1,"USB, Network, VGA, DVI-D, DC-in",,33
126,123,Sony Print Paper - SVMF40P,SVM-F40P 4'x6' Photo paper - 40-Count,$17.99,149
127,124,Canon Canon CB-2LW Battery Charger - 0763B001,,,59
128,125,Tivo AG0100 Wireless G USB Network Adapter,,,111
129,126,TiVo TCD649080 - Series2 Digital Video Recorder - Up to 80 Hours Capacity,,,99
130,127,Canon PSC-75 Deluxe Soft Case - 0716B001,Top Loading - Leather,$19.94,242
131,128,SONY COMPACT TRIPOD 14'/39' *NIC* - VCTR100,,,-1
132,129,"Lowepro Rezo 15 Camera Case - MicroFiber, Ripstop Nylon - Black (Black)",,,80
133,130,"Lowepro SlingShot 200 AW Camera Backpack - Backpack - MicroFiber, Ripstop Nylon - Black, Gray (Black)",,,80
134,131,"Lowepro Edit 100 Case for Camcorder - Nylon, MicroFiber - Black (Black)",,,80
135,132,GE Millennium TV Antenna - 24734,,,31
136,133,Lego Star Wars 2: The Original Trilogy,,,-1
137,1081,Uniden TCX905 Tru-Digital Expansion Handset With Caller ID,,$29.99,35
138,134,Panasonic KX-TGA450B Cordless Handset,Panasonic KX-TGA450B Additional Handset for PANKXTG4500B,,39
139,135,Panasonic KX-TG4500B Corded/Cordless Telephone,4 x Phone Line(s) - Black,,49
140,136,Panasonic KX-TG6700B Cordless Telephone,Panasonic KX-TG6700B 5.8 GHz 2-Line FHSS GigaRange Expandable Digital Cordless Phone with Answering System & Call Waiting Caller ID,$106.14,45
141,137,Panasonic KX-TGA670B Cordless Handset,Panasonic KX-TGA670B Additional Handset for PANKXTG6700B,,39
142,138,Fellowes Powershred Personal W11C Shredder - 30100,Cross Cut - 11 Per Pass - 5.5 Gallon Wastebasket,,4
143,139,Directed Electronics Antenna Extension Cable - 14230,SMB - 50ft,,172
144,140,Weber Q 300 Gas Grill,,,94
145,141,Sony Learning Remote Control - RMVL600,"TV, DVD Player, VCR, CD Player, Satellite Receiver, DVR - 32.81 ft - Universal Remote",$19.99,201
146,142,Uniden TCX905 Cordless Handset - TCX905,Uniden TCX-905 Tru-Digital Expansion Handset With Caller ID,,35
147,143,Panasonic KX-TS600W Basic Telephone,"1 x Phone Line(s) - 1 x Headset, 1 x Data - White",,-1
148,144,Pioneer Nautica Marine Remote Control,Pioneer Electronics CD-MR80D Wired Marine Remote Control with Display,,194
149,145,Pioneer GEX-P920XM XM Digital Satellite Tuner - GEX-P920XM,Pioneer Electronics GEXP920XM XM Digital Satellite Tuner for Pioneer Headunits,,-1
150,146,Pioneer TS-P462 Speaker,Pioneer Electronics TS-P462 4' x 6' 2-Way Component Plate Speaker with 150 Watts Maximum Power,,-1
151,147,Pioneer Nautica TS-MR1640 Marine Speaker - TS-MR1640,Pioneer Electronics TSMR1640 Nautica Series 6-1/2' Marine-Use 2-Way Speaker with 160 Watts Max. Power,,194
152,148,Canon NB-5L Lithium-Ion Digital Camera Battery - 1135B001,Canon NB-5L Lithium Ion Battery,$36.49,-1
153,149,Boss 161 Speaker,Speaker - Magnetically Shielded,$158.00,-1
154,150,Bose Acoustimass 5 Series III Speaker System - 21725,2.1-channel - Black,$359.00,22
155,151,Bose PMCII Remote Control,"DVD Player, TV, VCR, Tuner, Amplifier, CD Player, Cable Box, Satellite Receiver, PVR (Personal Video Recorder) - 80 ft - DVD Player Remote",$145.37,-1
156,152,Apple DVI to mini-DVI Video Cable Adapter - M9321GB,mini-DVI Male to 24-pin DVI-D (Digital) Male,$19.99,-1
157,153,Peerless PLAV70-UNLP-S Articulating Dual-Arm with Vertical Adjustment - PLAV70 UNLPS,Steel - 200 lb,$449.52,-1
158,154,Sanus VisionMount Flat Panel TV Wall Mount - MF110-B1,"Steel, Aluminum - 100 lb",,195
159,155,Sanus VisionMount Flat Panel TV Wall Mount - ML22-B1,Steel - 100 lb,,195
160,156,Sanus VisionMount Tilting Flat Panel TV Wall Mount - MT25-B1,Steel - 100 lb,,195
161,157,Panasonic SDYD250 Automatic Bread Maker,,,-1
162,158,Canon PSC-55 Deluxe Leather Camera Case - 1588B001,Top Loading - Leather - Black,$16.82,251
163,159,Garmin GA 25MCX Low Profile Remote GPS Antenna - 010-10702-00,,,-1
164,160,CHARGE YOUR UNIT WITH THIS AC ADAPTER CABLE. ALSO INCLUDES INTERNATIONAL ADAPTER - 010-10723-00,,,-1
165,161,Garmin USB Cable - 010-10723-01,1 x Type A USB,$8.15,238
166,162,Garmin Leather GPS Case,Garmin 010-10723-02 - Leather GPS Case,,-1
167,163,Garmin Vehicle Suction Cup mount,Garmin 010-10723-03 - Vehicle Suction Cup Mount,,237
168,164,Garmin Cigarette Lighter Adapter for GPS,Garmin 010-10723-06 - Cigarette Lighter Adapter for GPS - 12V DC,,-1
169,165,Garmin Cigarette Lighter Adapter for GPS Navigation - 010-10747-03,,$12.99,230
170,166,Sharp R-1214 Microwave Oven - R-1214,SHARP Over-the-Counter Stainless Mircowave Oven - R1214,$380.67,-1
171,167,Linksys WAP4400N Wireless-N Access Point With POE - WAP4400N,Linksys Wireless-N Access Point with Power Over Ethernet High-Speed Wireless Access for Existing Networks!,,101
172,168,Linksys Wireless-N WRVS4400N Gigabit Security Router with VPN,4 x LAN,,112
173,169,Panasonic CGA-S007A/1B Lithium Ion Digital Camera Battery,Lithium Ion (Li-Ion) - 3.7V DC - Photo Battery,,-1
174,170,Panasonic BB-HCM331A Outdoor Network Camera with 2-Way Audio,Color - CCD - Cable,,32
175,171,Panasonic BL-C1A Network Camera,,,32
176,172,Panasonic KX-FG2451 Plain Paper Thermal Transfer Fax/Copier - KX-FG2451,Panasonic Plain Paper Fax/Copier with 2.4GHz FHSS GigaRange Cordless Phone and Digital Answering System,,34
177,173,Panasonic KX-TS3282W Corded Telephone,2 x Phone Line(s) - Headset - White,,49
178,174,"Panasonic NN-C994S Genius Prestige Convection Microwave Oven with Inverter Turbo Defrost and One-Touch Sensor Cooking, Stainless",,,-1
179,175,Panasonic KX-TSC14W 2-Line Telephone,2 x Phone Line(s) - Headset - White,,-1
180,176,Microsoft Office 2007 Home and Student - 79G-00007,,$82.99,20
181,177,Microsoft Office 2007 Standard - 021-07746,,$319.99,20
182,178,Techcraft Veneto Series ABS32 TV Stand,"Glass, Wood - Black",$150.13,100
183,179,Techcraft Veneto Series SWP48 TV Stand,"Wood, Glass - Brown",$299.00,100
184,180,LG Electronics RLM20K Remote Laundry Monitoring System,,,-1
185,181,LG Electronics WDP3 Laundry Pedestal with Drawer - Blue,,,107
186,182,LG Electronics LG WSTK1 Washer/Dryer Stacking Kit: White,,,103
187,183,Nintendo DS Lite (Black Onyx) - USGSKB,,,13
188,184,"Logitech QuickCam Communicate STX Webcam - Black, Charcoal - 961464-0403",CMOS - USB,,16
189,185,Audiovox CNP2000 XM Mini-Tuner,XM Satellite Radio Receiver,,182
190,186,Audiovox CNP2000H XM Mini-Tuner Home Dock,XM Satellite Radio,$24.74,182
191,187,Denon TU-1500RD Stereo Radio Tuner - TU1500RD,40,,-1
192,188,Toshiba Lithium Ion Portable DVD Player Battery - MEDB05LX,Lithium Ion (Li-Ion) - 7.4V DC - Portable DVD Player Battery,$149.99,-1
193,189,Pioneer Car Audio Remote Control - CDVC1,Car Audio System - Car Audio Remote,$35.00,194
194,190,Sony SCD-CE595 CD Player - SCDCE595,"CD-ROM, CD-R, CD-RW - CD-Text Playback - 5 Disc(s)",,-1
195,191,Sony CDP-CE375 CD Player/Changer - CDPCE375,"CD-ROM, CD-R, CD-RW - 5 Disc(s) - 32 Programmable Track(s)",$114.18,217
196,192,Denon DP-29F Analog Record Turntable - DP29F,Belt Drive,,38
197,193,Sony CDP-CX455 CD Player/Changer - CDPCX455,"CD-R, CD-RW, CD-ROM - MP3, CD-Text Playback - 400 Disc(s) - 32 Programmable Track(s)",$219.99,217
198,194,Cordless Solo S2 Radar/Laser Detector - 010ES20A,,$279.99,26
199,195,Kenwood KDC-C669 Car CD Changer - KDCC669,CD-RW - CD-Text,,-1
200,196,Kenwood KCA-IP500 iPod Interface/Controller - KCAIP500,,$47.72,64
201,197,Sony Compact Disc Player/Recorder - RCDW500C,"CD-R, CD-RW, CD-ROM - CD-Text, MP3 Playback - 5 Disc(s) - 24 Programmable Track(s)",$219.76,176
202,198,Apple V.92 Data/Fax USB Modem - MA034ZA,USB - RJ-11 Phoneline - 56 Kbps,$49.00,-1
203,199,Universal MasterControl Universal Learning Remote Control - RF20,"Audio/Video, TV, VCR, DVD Player, CD Player, Cable Box, DVR, Audio System, Tape Deck, PC, Satellite Radio, iPod, Xbox 360, Lighting System - 50 ft, 100 ft - Universal Remote",,201
204,200,Garmin GPS Receiver Dash Mount - 010-10613-00,,,237
205,201,Sony Remote Control - RMV310,"TV, VCR, DVD Player, Cable Box, Satellite Receiver, Amplifier, CD Player, DVR - 23 ft - Universal Remote",$14.72,201
206,202,GE Pre-Amplifier for Stereo Turntable - 23292,,$23.72,38
207,203,Denon DCM-390 5 Disc CD Changer - DCM390,,$348.00,-1
208,204,Denon DP-300F Analog Record Turntable - DP300F,Belt Drive,$328.99,38
209,205,Garmin Vehicle Suction Mount - 010-10609-00,,$27.59,237
210,206,Sony DVPCX995V DVD Player,"DVD+RW, DVD-RW, CD-RW - DVD Video, Video CD, SVCD, SACD, MP3, JPEG Playback - 400 Disc(s) - Progressive Scan - Black",$249.99,-1
211,207,Cuisinart Cordless Automatic Electric Kettle,,$69.95,-1
212,208,"Twin Tub DTT420 Washer (Top Loading, 10 Lbs.)",,$312.04,-1
213,209,KitchenAid Pasta Roller And Cutter - KPRA,,,-1
214,210,LG Electronics 24' Front-Load All-In-One Washer and Dryer: Titanium,,,103
215,211,LG Electronics 24' Washer/Dryer Combo: White,,,103
216,212,Griffin Elevator Desktop Stand for Portable Laptops - 1093-CURV2,Aluminum,,-1
217,213,LG Electronics 10 cu.ft. Cabinet Depth Refrigerator,,,-1
218,214,LG Electronics LRBP1031W 10 Cu. Ft. Refrigerator,,,-1
219,215,LG Navy Blue SteamWasher 27',,,-1
220,216,Sony 17-in-1 External USB Memory Card Reader And Writer - MRW62E/S1/181,"17-in-1 - Memory Stick Duo, Memory Stick MagicGate Duo, Memory Stick PRO, Memory Stick PRO MagicGate, miniSD Card, MultiMediaCard (MMC), RS-MMC, CompactFlash (CF) Card, Secure Digital (SD) Card, Smar",,170
221,217,DIRECTDECK UNIVERSAL CASSETTE ADAPTER FOR MP3 PLAYERS - 7256-DDECK,,,-1
222,218,"DDW1805W 18-in. Portable Dishwasher (White, Energy Star)",,$474.36,-1
223,219,White .5 cu. ft 1500 Watt Convection/Broiler/Toaster Oven,,$149.00,89
224,220,DeLonghi 6-pc. Replacement Filters for Deep Fryer,,,18
225,221,DeLonghi 4-Cup Drip Coffee Makers,,,-1
226,222,"Harmony EL6985A Vacuum (Canister, HEPA)",,,6
227,223,Cuisinart GR-4 Griddler Four Multifunctional Cooking Options,,$129.00,-1
228,224,Cuisinart Brew & Serve Stainless Therm Black 10-Cup Coffee Maker,,$99.95,-1
229,225,Belkin CushTop - F8N044-ORG,,,42
230,226,Belkin CushTop - F8N044-GRN,,,42
231,227,Belkin CushTop - F8N044-SLV,,,42
232,228,Canon PG-40 Black Ink Cartridge - PG-40-BK-TWIN,Black,$41.46,153
233,229,"DCC-2000 Coffee Maker (12 Cup, Stainless Steel)",,$99.95,-1
234,230,"Hoover EmPower U5269-900 Vacuum (Upright, HEPA, Bagless)",,,6
235,231,Olympus Neoprene Soft Camera Case - 202066,Top Loading - Neoprene - Black,$11.89,192
236,232,Canon Battery and Charger Kit - 1169B001,Power Accessory Kit,,59
237,233,Directed Electronics Sportster 4 Sirius Satellite Radio Receiver - SP4TK1,XS - FM Transmitter - 6 Lines LCD,$169.99,188
238,234,Panasonic KX-FLB801 Multifunction Printer - KX-FLB801,Panasonic All-in-One All-in-One Flatbed Laser Fax,,-1
239,235,Denon DVD-2930CI DVD Player - DVD2930CI,"DVD+RW, DVD-RW, CD-RW - DVD Video, DVD Audio, SACD, Video CD, Picture CD, JPEG, WMA, PCM, HDCD, MP3, MPEG-1, MPEG-2, MPEG-4, DivX Playback - 1 Disc(s) - Progressive Scan - Black",$448.00,233
240,236,OmniMount MWFS Moda Collection 2 Shelf Wall Mounted Furniture System - Espresso,,$158.16,164
241,237,Directed Electronics SUPV1 Car Kit,Sirius Satellite Radio Receiver,,-1
242,238,Sirius SUPH1 Sirius Universal Home Kit,Sirius Satellite Radio Receiver,$44.99,188
243,239,Logitech Harmony 1000 Advanced Universal Remote Control - 966230-0403,,,202
244,240,Logitech diNovo Edge Keyboard - 967685-0403,USB,,44
245,241,Nikon EN-EL3e Lithium Ion Digital Camera Battery - 25334,Nikon EN-EL3e Rechargeable Li-ion Battery,$34.24,239
246,242,Nikon 55-200mm f/4-5.6G ED AF-S DX Telephoto Zoom Lens - 55200MMLENS,0.28x - 55mm to 200mm - f/4 to 5.6,$124.95,126
247,243,Sony LCS-CSH Soft Camera Case - LCSCSH,Top Loading - Polypropylene - Black,,256
248,244,Olympus Slim Leather Case - 202087,Leather - Black,$18.99,-1
249,245,Canon EF 75-300mm f/4-5.6 III Telephoto Zoom Lens - 6473A003,f/4 to 5.6,$159.95,127
250,246,Canon Mini DV Camcorder Starter Kit - 9582A008,Camcorder Starter Kit,$69.95,-1
251,247,LG Electronics DLE0442W XL Load Capacity with NeveRust Stainless Steel Drum,,,-1
252,248,LG Electronics DLG0452W 7.3 Cu. Ft. 9-Cycle Gas Dryer,,,124
253,249,LG Electronics WDP3 Laundry Pedestal with Drawer -W/ B/ S/ N / WDP3R - Wild Cherry,,,107
254,250,LG Electronics WM0642HW Front Load Washing Machine with 7 Washing Programs,,,-1
255,251,Canon BCI-6 Color Ink Cartridges - 4705A018,"Black, Cyan, Magenta, Yellow, Light Cyan, Light Magenta",$59.99,158
256,252,Directed Electronics Starmate 4 Sirius Satellite Radio Receiver - ST4TK1,XS - FM Transmitter - 5 Lines LCD,$104.93,188
257,253,OmniMount 3-Shelf Large-Component Tower - STELLARG303G,,,-1
258,254,Olympus LI-42B Lithium Ion Digital Camera Battery - 202034,Lithium Ion (Li-Ion) - 3.7V DC - Photo Battery,,239
259,255,Canon CB-2LX Battery Charger - 1133B001,,,59
260,256,Nikon Nikkor 70-300mm f/4.5-5.6G ED-IF AF-S VR Telephoto Zoom Lens - 2161,f/4.5 to 5.6,$449.00,126
261,257,Fellowes MicroShred MS-450Cs Shredder - 3245001,Micro Cut - 7 Per Pass,$185.99,4
